label;birth date;death date
Ronald Lacey;1935-09-28;1991-05-15
Ronald Lewis (baritone);1916-01-16;1967-12-30
Ronald Muldrow;1949-02-02;2007-01-31
Ronald Shannon Jackson;1940-01-12;2013-10-19
Ronald Stein;1930-04-12;1988-08-15
Ronald Townson;1933-01-29;2001-08-02
Ronald White;1939-04-05;1995-08-26
Ronald Winans;1956-06-30;2005-06-17
Ronn Metcalfe;1930-07-20;1969-05-18
Ronnie Aldrich;1916-02-15;1993-09-30
Ronnie Barron;1943-10-09;1997-03-20
Ronnie Bedford;1931-06-02;2014-12-20
Ronnie Bond;1940-05-04;1992-11-13
Ronnie Boykins;1935-12-17;1980-04-20
Ronnie Bright;1938-10-18;2015-11-26
Ronnie Chamberlain;1924-05-12;1999-09-17
Ronnie Cord;1943-01-22;1986-01-06
Ronnie Dawson (musician);1939-08-11;2003-09-30
Ronnie Drew;1934-09-16;2008-08-16
Ronnie Dyson;1950-06-05;1990-11-10
Ronnie Gilbert;1926-09-07;2015-06-06
Ronnie Hilton;1926-01-26;2001-02-21
Ronnie James Dio;1942-07-10;2010-05-16
Ronnie Lane;1946-04-01;1997-06-04
Ronnie Mathews;1935-12-02;2008-06-28
Ronnie Montrose;1947-11-29;2012-03-03
Ronnie Ronalde;1923-06-29;2015-01-13
Ronnie Scott;1927-01-28;1996-12-23
Ronnie Self;1938-07-05;1981-08-28
Ronnie Singer;1928-06-09;1953-09-12
Ronnie Stephenson;1937-01-26;2002-08-08
Ronnie Van Zant;1948-01-15;1977-10-20
Ronnie Verrell;1926-02-21;2002-02-22
Ronnie Wells;1943-02-28;2007-03-07
Ronny Coaches;None;2013-11-21
Ronny Jordan;1962-11-29;1962-11-29
Ronny Lee;1927-03-02;2015-04-22
Roosevelt Jamison;1936-07-15;2013-03-27
Roosevelt Sykes;1906-01-31;1983-07-17
Roosevelt Wardell;None;1999-04-29
Roosevelt Williams;1903-12-07;1996-07-17
Root Boy Slim;1944-07-09;1993-06-08
Rory Gallagher;1948-03-02;1995-06-14
Rory McEwen (artist);1932-03-12;1982-10-16
Rory Storm;1938-01-07;1972-09-28
Rosa Balistreri;1927-03-21;1990-09-20
Rosa Grünberg;1878-01-04;1960-04-11
Rosa Henderson;1896-11-24;1968-04-06
Rosa King;1939-03-14;2000-12-12
Rosa Lee Hill;1910-09-25;1968-10-22
Rosa Rio;1902-06-02;2010-05-13
Rosalie King;1902-08-23;1997-09-11
Rosalie Levasseur;1749-10-08;1826-05-06
Rosalyn Borden;1932-05-29;2003-01-23
Rosamonde Safier;1912-09-09;1992-12-07
Rosario Bourdon;1885-03-06;1961-04-24
Rosario García Orellana;1905-10-02;1997-11-03
Rosario Mazzeo;1911-04-05;1997-07-19
Rosario Scalero;1870-12-24;1954-12-25
Rosco Gordon;1928-04-10;2002-07-11
Roscoe Ates;1895-01-20;['1962-02-12', '1962-03-01']
Roscoe Holcomb;1912-09-05;1981-02-01
Roscoe Shelton;1931-08-22;2002-07-27
Rose Caron;1857-11-17;1930-04-09
Rose Kennedy;1890-07-22;1995-01-22
Rose Maddox;1925-08-15;1998-04-15
Rose Marie McCoy;1922-04-19;['2015-01-15', '2015-01-20']
Rose Murphy;['1913-04-28', '1913-05-07'];1989-11-16
Rosemary Glyde;1948-09-15;1994-01-18
Rosendo Mendizábal;1868-04-21;1913-06-30
Rosendo Ruiz;1885-03-01;1983-01-01
Rosetta Hightower;1944-06-23;2014-08-02
Rosetta Pampanini;1896-09-02;1973-08-02
Roshan (music director);1917-07-14;1967-11-16
Roshan Ara Begum;None;1982-12-06
Rosina Buckman;1881-03-16;1948-12-30
Rosine Bloch;1844-11-07;1891-02-01
Rosinha de Valença;1941-07-30;2004-06-10
Rosita Fernandez;None;2006-05-02
Rosita Melo;1897-07-09;1981-08-12
Rosita Renard;1894-02-08;1949-05-24
Roslyn Brogue;1919-02-16;1981-08-01
Ross Bagdasarian Sr.;1919-01-27;1972-01-16
Ross Barbour (singer);1928-12-31;2011-08-20
Ross Parker (songwriter);1914-08-16;1974-08-02
Rossano Brazzi;1916-09-18;1994-12-24
Rosy McHargue;1902-04-06;1999-06-08
Rowland Greenberg;1920-08-28;1994-04-02
Rowland Prichard;1811-01-14;1887-01-25
Rowland S. Howard;1959-10-24;2009-12-30
Roy Acuff;1903-09-15;1992-11-23
Roy Ayres;1929-12-10;2012-06-09
Roy Bargy;1894-07-31;1974-01-16
Roy Black (singer);1943-01-25;1991-10-09
Roy Brooks;1938-03-09;2005-11-15
Roy Brown (blues musician);1925-09-10;1981-05-25
Roy Buchanan;1939-09-23;1988-08-14
Roy Campbell Jr.;1952-09-29;2014-01-09
Roy Carrier;1947-02-11;2010-05-03
Roy Chicago;None;1989-02-05
Roy Crimmins;1929-08-02;2014-08-27
Roy Drusky;1930-06-22;2004-09-23
Roy Eldridge;1911-01-30;1989-02-26
Éric Charden;1942-10-15;['2001-04-29', '2012-04-29']
Ørnulf Gulbransen;1916-12-19;2004-02-20
Þór Beck;1940-01-21;1999-12-18
Þórður Þórðarson (footballer born 1930);1930-11-26;2002-11-30
Roy Fox;1901-10-25;1982-03-20
Roy Guest;1934-03-13;1996-09-23
Roy Hall (musician);1922-05-07;1984-03-03
Roy Hamilton;1929-04-16;1969-07-20
Roy Harte;1924-05-27;2003-10-26
Roy Harvey (musician);1892-03-04;1958-07-11
Roy Hogsed;1919-12-24;1978-03-13
Roy Huskey Jr.;1956-12-17;1997-09-06
Roy Keith Black;1927-10-30;2009-12-28
Roy Kral;1921-10-10;2002-08-02
Roy Milton;1907-07-31;1983-09-18
Roy Montrell;1928-02-27;1979-03-16
Roy Nichols;1932-10-21;2001-07-03
Roy Orbison;1936-04-23;1988-12-06
Roy Smeck;1900-02-06;1994-04-09
Roy Turk;1892-09-20;1934-11-30
Roy Williamson;1936-06-25;1990-08-12
Royalton Kisch;1920-01-20;1995-03-21
Roza Baglanova;1922-01-01;2011-02-08
Roza Eskenazi;None;1980-12-02
Rozelle Claxton;1913-02-05;1995-03-30
Rozz Williams;1963-11-06;1998-04-01
Rual Yarbrough;1930-01-13;2010-09-21
Rubaba Muradova;['1930-03-21', '1933-03-21'];1983-08-28
Rube Kisinger;1876-12-13;['1941-07-14', '1941-07-17']
Ruben Sargsyan;1945-11-22;2013-04-06
Ruben Tagalog;1922-10-18;1989-03-05
Rubin Lacey;1901-01-02;1969-11-14
Ruby Braff;1927-03-16;2003-02-09
Ruby Hunter;1955-10-31;2010-02-17
Ruby Johnson;1936-04-19;1999-07-04
Ruby Mercer;1906-07-26;1999-01-26
Ruby Murray;1935-03-29;1996-12-17
Ruby Smith;1903-08-24;1977-03-24
Ruby Wright (country singer);1939-10-27;2009-09-27
Rubén González (pianist);1919-05-26;2003-12-08
Rubén Juárez;1947-11-05;2010-05-31
Rubén Marino Navarro;1933-03-30;2003-07-14
Ruda Real;1977-06-05;2006-01-29
Ruddy Thomas;1951-07-12;2006-06-10
Rudi Godden;1907-04-18;1941-01-04
Rudi Schuricke;1913-03-16;1973-12-28
Rudolf Barshai;1924-09-28;2010-11-02
Rudolf Bockelmann;1892-04-02;1958-10-09
Rudolf Christ;1916-03-20;1982-04-20
Rudolf Dašek;1933-08-27;2013-02-01
Rudolf Dellinger;1857-07-08;1910-09-24
Rudolf Fischer (musician);1913-07-13;2003-07-29
Rudolf Fitzner;1868-05-04;1934-02-02
Rudolf Kehrer;1923-07-10;2013-10-29
Rudolf Kemény;1871-03-21;1945-07-07
Rudolf Kirs;1915-06-16;1963-07-08
Rudolf Moralt;1902-02-26;1958-12-16
Rudolf Schlesinger;None;1996-11-10
Rudolf Usinger;1835-07-07;1874-05-31
Rudolph Bay;1791-07-09;1856-05-15
Rudolph Charles;1938-10-01;1985-03-29
Rudolph Polk;1892-11-25;1957-06-16
Rudolph Reti;1885-11-27;1957-02-07
Rudra Baruah;None;1980-02-14
Rudy Collins;1934-07-24;1988-08-15
Rudy Lewis;1936-08-23;1964-05-20
Rudy Lyle;1930-03-17;1985-02-11
Rudy Powell;1907-10-28;1976-10-30
Rudy Regalado (musician);1943-01-29;2010-11-04
Rudy Robbins;1933-11-17;2011-02-21
Rudy Singer;None;2007-08-18
Rudy Toth;1925-12-16;2009-07-09
Rudy Vallée;1901-07-28;1986-07-03
Rufus Speedy Jones;1936-05-27;1990-04-25
Rufus Payne;1883-02-04;1939-03-17
Rufus Thibodeaux;1934-01-05;2005-08-12
Rufus Thomas;1917-03-26;2001-12-15
Ruggiero Ricci;1918-07-24;2012-08-06
Ruhollah Khaleqi;None;1965-11-12
Rulan Chao Pian;1922-04-20;2013-11-30
Rune Gustafsson;1933-08-25;2012-06-15
Rupert Ignaz Mayr;None;1712-02-07
Rupert Nurse;1910-12-26;2001-03-18
Rupert von Trapp;1911-11-01;1992-02-22
Rushton Moreve;1948-11-06;1981-07-01
Ruslan Abdulgani;1914-11-24;2005-06-29
Russ Columbo;1908-01-14;1934-09-02
Russ Conway;1925-09-02;2000-11-16
Russ Morgan;1904-04-29;1969-08-07
Russell Arthur Missin;1922-07-15;2002-11-28
Russell Bowles;1907-04-17;1991-07-05
Russell Christopher;1930-03-12;2014-11-09
Russell Dunlop;1945-10-21;2009-05-16
Russell Henderson;1924-01-07;2015-08-18
Russell Jacquet;1917-12-04;1990-02-28
Russell L. Ackoff;1919-02-12;2009-10-29
Russell Lieblich;1953-03-02;2005-01-26
Rust Epique;1968-02-29;2004-03-09
Rusty Bryant;1929-11-25;1991-03-25
Rusty Day;1945-12-29;1982-06-03
Rusty Dedrick;1918-07-12;2009-12-25
Rusty Draper;1923-01-25;2003-03-28
Rusty Jones (musician);1942-04-13;2015-12-09
Rusty Wier;1944-05-03;2009-10-09
Rusty York;1935-05-24;2014-01-26
Rutger Gunnarsson;['1946-02-12', '1946-02-19'];2015-04-30
Ruth Berman Harris;1916-11-03;2013-04-23
Ruth Brown;1928-01-12;2006-11-17
Ruth Fernández;1919-05-23;2012-01-09
Ruth Flowers;['1931-03-29', '1940-03-29'];2014-05-26
Ruth Hauser;1923-11-19;2007-01-11
Ruth Kobart;1924-04-24;2002-12-14
Ruth M. Jefford;1914-07-16;2007-01-09
Ruth Polsky;1954-12-05;1986-09-07
Ruth Posselt;1914-09-06;2007-02-19
Ruth Railton;1915-12-14;2001-02-23
Ruth Roberts;1926-08-31;2011-06-30
Ruth Stuber Jeanne;1910-05-13;2004-04-06
Ruth Tester;1903-08-17;1993-03-21
Ruth Vincent;1877-03-22;1955-07-04
Ruth Welcome;1918-04-24;2005-03-06
Ruzhena Sikora;1919-08-20;2006-12-23
Ryan Dallas Cook;1982-06-05;2005-10-19
Ryan Dunn;1977-06-11;2011-06-20
Ryszard Riedel;1956-09-07;1994-07-30
Ryu Umemoto;1974-02-18;2011-08-16
Ryōichi Hattori;1907-10-01;1993-01-30
Róbert Ilosfalvy;1927-06-18;2009-01-06
Róża Etkin-Moszkowska;None;1945-01-16
Rúnar Júlíusson;1945-04-13;2008-12-05
Růžena Maturová;1869-09-02;1938-02-25
Ram Chatur Mallik;None;1990-01-13
Ramachandra Krishanji Phatak;1917-10-21;2002-09-26
Ramadan Sokoli;1920-06-14;2008-03-12
Ramanathapuram C S Murugabhoopathy;1914-02-14;1998-03-21
Ramashreya Jha;1928-08-11;2009-01-01
Ramata Diakité;None;2009-10-30
Ramblin' Tommy Scott;1917-06-24;2013-09-30
Rameshwar Pathak;1938-03-01;2010-12-03
Ramiro Saavedra;['1984-03-11', '1984-03-14'];2012-06-12
Ramnad Krishnan;1918-09-14;1973-01-29
Ramon Carnicer;1789-10-24;1855-03-17
Ramon Carranza;1940-10-01;2003-01-05
Ramona (vocalist);1909-03-11;1972-12-14
Ramses Shaffy;1933-08-29;2009-12-01
Ramón Collazo;1901-01-01;1980-07-16
Ramón S. Sabat;None;1986-03-15
Ramón Vargas Colman;1925-03-03;1983-07-14
Ranasinghe Premadasa;1924-06-23;1993-05-01
Randal Hilton;1990-03-23;2010-08-10
Randall Bewley;1955-07-25;2009-02-25
Randolph Colville;1942-05-23;2004-02-15
Randy Cain;1945-05-02;2009-04-09
Randy California;1951-02-20;1997-01-02
Randy Castillo;1950-12-18;2002-03-26
Randy Jo Hobbs;1948-03-22;1993-08-05
Randy Johnston (model);1988-09-25;2008-10-11
Randy Rhoads;1956-12-06;1982-03-19
Randy VanWarmer;1955-03-30;2004-01-12
Randy Van Horne;1924-02-10;2007-09-26
Rangi Ruru Wananga Karaitiana;1909-03-04;1970-12-15
Rani Durgavati;1524-10-05;1564-06-24
Ranking Trevor;1960-01-20;2012-08-07
Ransom Knowling;1912-06-24;1967-10-22
Ranuccio Bianchi Bandinelli;1900-02-19;1975-01-17
Raoul Gregory Vitale;1928-02-12;2003-09-29
Raoul Jobin;1906-04-08;1974-01-13
Raoul Kraushaar;1908-08-20;2001-10-13
Raoul Pugno;1852-06-23;1914-01-03
Raphael Bronstein;None;1988-11-04
Raphael Grinage;1931-01-04;1993-12-15
Raphael Hillyer;1914-04-10;2010-12-27
Raphael Rabello;1962-10-31;1995-04-27
Raphael Ravenscroft;1954-06-04;2014-10-19
Raphe Malik;1948-11-01;2006-03-08
Raphy Leavitt;1948-09-17;2015-08-05
Raquel Meller;1888-03-09;1962-07-26
Rasheed Attre;1919-02-15;1967-12-18
Rashid Behbudov;1915-12-14;1989-06-09
Rashied Ali;1933-07-01;2009-08-12
Rasoolan Bai;None;1974-12-15
Ratiba El-Hefny;None;2013-09-16
Ratnakar Pai;1928-04-13;2009-08-09
Rauf Adigozalov;1940-11-22;2002-06-29
Rauf Atakishiyev;1925-07-15;1994-02-03
Rauf Hajiyev;1922-05-15;1995-09-19
Raul Seixas;1945-06-28;1989-08-21
Raul Torres;1906-07-11;1970-07-12
Rauli Somerjoki;1947-08-30;1987-01-14
Raveendran;1941-11-09;2005-03-03
Ravi (music director);1926-03-03;2012-03-07
Ravi Shankar;1920-04-07;2012-12-11
Ravindra Jain;1944-02-28;2015-10-09
Ray Alden;1942-07-02;2009-09-19
Ray Alexander (musician);1925-02-07;2002-06-08
Ray Arnett;1917-09-17;['2015-03-12', '2015-12-03']
Ray Barretto;1929-04-29;2006-02-17
Ray Bloch;1902-08-03;1982-03-29
Ray Brown (musician);1926-10-13;2002-07-02
Ray Bryant;1931-12-24;2011-06-02
Ray Charles;1930-09-23;2004-06-10
Ray Colcord;1949-12-24;2016-02-05
Ray Collins (musician);1936-11-19;2012-12-24
Ray Condo;1950-05-16;2004-04-15
Ray Conniff;1916-11-06;2002-10-12
Ray Draper;1940-08-03;1982-11-01
Ray E. Heady;1916-02-17;2002-05-07
Ray Eberle;1919-01-19;1979-08-25
Ray Ellington;1916-03-17;1985-02-27
Ray Evans;1915-02-04;2007-02-15
Ray Foxley;1928-12-28;2002-07-06
Ray Gillen;1959-05-12;1993-12-01
Ray Goins;1936-01-03;2007-07-02
Ray Heatherton;1909-06-01;1997-08-15
Ray Henderson;1896-12-01;1970-12-31
Ray Kennedy (pianist);None;2015-05-28
Ray Kinney;1900-09-26;1972-02-01
Ray Leatherwood;1914-04-24;1996-01-29
Ray Lev;1912-05-08;1968-05-20
Ray Manzarek;1939-02-12;2013-05-20
Ray Martin (orchestra leader);1918-10-11;1988-02-07
Ray Moore (broadcaster);1942-01-02;1989-01-11
Ray Nance;1913-12-10;1976-01-28
Ray Noble;1903-12-17;1978-04-03
Ray Norris (musician);None;1958-12-21
Ray Peterson;1935-04-23;2005-01-25
Ray Price (musician);1926-01-12;2013-12-16
Ray Smith (country singer);1918-06-25;1979-12-04
Ray Smith (rockabilly singer);1934-10-30;1979-11-29
Ray Stephens (singer);1954-12-14;1990-10-04
Ray Still;1920-03-12;2014-03-12
Ray Watts (singer);1957-01-26;2000-02-12
Ray Wetzel;1924-09-22;1951-08-17
Ray Whitley (songwriter);1943-11-22;2013-05-05
Raya Garbousova;1909-09-25;1997-01-28
Raymond Aron;1905-03-14;1983-10-17
Raymond Asso;1901-06-02;1968-10-24
Raymond Berthiaume;1931-05-09;2009-06-23
Raymond Borremans;1906-06-03;1988-07-22
Raymond Cohen;1919-07-27;2011-01-28
Raymond D. Bowman;1917-09-04;['2001-11-30', '2001-12-30']
Raymond Ericson;None;1997-12-30
Raymond Hill (musician);1933-04-29;1996-04-16
Raymond Jackson (songwriter);1941-09-11;1972-11-10
Raymond Louis Kennedy;1946-11-26;2014-02-16
Raymond Monelle;1937-08-19;2010-03-12
Raymond Premru;1934-06-06;1998-05-08
Raymond Scott;1908-09-10;1994-02-08
Raymond Sherwood;1895-11-25;1965-08-15
Raymonde Delaunois;1885-10-12;['1984-06-30', '1984-08-29']
Raynald Arseneault;1945-06-09;1995-01-27
Razzle (musician);1960-12-02;1984-12-08
Reaves Baysinger;1902-02-22;1994-12-04
Reb Spikes;1888-10-31;1982-02-24
Rebop Kwaku Baah;1944-02-13;1983-01-12
Red Allen;1906-01-07;1967-04-17
Red Allen (bluegrass);1930-02-12;['1993-04-03', '1993-04-15']
Red Balaban;1929-12-22;2013-12-29
Red Blanchard;1914-07-24;1980-02-24
Red Callender;1916-03-06;1992-03-08
Red Dragon (musician);None;2015-07-31
Red Foley;1910-06-17;1968-09-19
Red Garland;1923-05-13;1984-04-23
Red Hayes;1926-04-04;1973-03-02
Red Holloway;1927-05-31;['2012-02-24', '2012-02-25']
Red Ingle;1906-11-07;1965-09-07
Red Miller (singer);1914-05-05;1987-10-13
Red Mitchell;1927-09-20;1992-11-08
Red Murrell;1921-06-27;2001-02-10
Red Nichols;1905-05-08;1965-06-28
Red Norvo;1908-03-31;1999-04-06
Red Perkins;1890-12-26;1976-09-27
Red Rhodes;1930-12-30;1995-08-20
Red Richards;1912-10-19;1998-03-12
Red Saunders (musician);1912-03-02;1981-03-05
Red Simpson;1934-03-06;2016-01-08
Red Sovine;1917-07-07;1980-04-04
Redd Stewart;1923-05-27;2003-08-02
Reed Miller;1880-02-29;1923-12-29
Reg Isidore;['1949-04-08', '1949-08-04'];2009-03-22
Reg King;1945-02-05;['2010-10-08', '2010-10-25']
Reg Lindsay;1929-07-07;2008-08-05
Reg Presley;1941-06-12;2013-02-04
Reg Singer;1924-02-14;2001-12-14
Reggie Attache;1894-02-05;1955-06-22
Reghu Kumar;['1953-06-13', '1953-07-13'];2014-02-20
Regina Pacini;1871-01-06;1965-09-18
Regina Resnik;1922-08-30;2013-08-08
Regina Smendzianka;1924-10-09;2011-09-15
Regina Strinasacchi;None;1839-06-11
Reginald Foresythe;1907-05-28;1958-12-28
Reginald Spofforth;1769-09-12;1827-09-08
Reginaldo Rossi;1944-02-14;2013-12-20
Rei Harakami;1970-12-10;2011-07-27
Reimar Riefling;1898-12-04;1981-05-22
Reinald Werrenrath;1883-08-07;1953-09-12
Reinette L'Oranaise;None;1998-11-17
Reinhold Brinkmann;1934-08-21;2010-10-10
Rema Messinger;1968-09-03;2015-08-18
Remberto Giménez;1898-02-04;1977-02-15
Remmy Ongala;None;2010-12-13
Remo Lauricella;None;2003-01-19
Remo Palmier;1923-03-29;2002-02-02
Rena Dor;None;2000-03-05
Rena Galibova;1915-05-24;1995-09-10
Renaldo Benson;1936-06-14;2005-07-01
Renata Tarragó;None;2005-08-02
Renato Capecchi;1923-11-06;1998-06-30
Renato Cellini;1912-04-24;1967-03-25
Renato Cioni;1929-04-15;2014-03-04
Renato Fasano;1902-08-21;1979-08-03
Renato Pagliari;1940-06-28;2009-07-29
Renato Russo;1960-03-27;1996-10-11
Renato Sellani;1926-01-08;2014-10-31
Renato Zanelli;1892-04-01;1935-03-25
Renee Godfrey;1919-09-01;1964-05-24
Rentaro Kita;1920-03-20;1940-09-15
Renuka Dasgupta;1910-08-22;1991-01-01
Renzo Rossellini (composer);1908-02-02;1982-05-13
René A. Morel;1932-03-11;2011-11-16
René Berg;1956-02-24;2003-07-28
René Carol;1920-04-11;1978-04-09
René Didi Duprat;1926-10-12;1996-08-08
René Gagnier;1892-05-30;1951-05-25
René Hall;1912-09-26;1988-02-11
René Maison;1895-11-24;1962-07-11
René Thomas (guitarist);1927-02-25;1975-01-03
René Touzet;1916-09-08;['2003-06-15', '2003-06-23']
Renée Morisset;1928-06-13;2009-05-03
Res Fischer;1896-11-08;1974-10-04
Reshma;None;2013-11-03
Reuben Kee;1984-07-09;2007-11-23
Reuben Phillips;None;1974-02-13
Reunald Jones;1910-12-22;1989-02-26
Revella Hughes;1895-07-27;1987-10-24
Reverend Gary Davis;1896-04-30;1972-05-05
Revo Jõgisalu;1976-07-09;2011-08-30
Revol Bunin;1924-04-06;1976-07-03
Rewat Buddhinan;1948-09-05;1996-10-27
Rex Everhart;1920-06-13;2000-03-13
Rex Garvin;1940-07-24;2013-12-02
Rex Griffin;1912-08-12;1959-10-11
Rex Nelon;1932-01-19;2000-01-24
Rex Stewart;1907-02-22;1967-09-07
Rex Yetman;None;2009-12-18
Reyhan (Bulgarian singer);1986-07-23;2005-08-25
Reynaldo Hahn;1874-08-09;1947-01-28
Reza Mahjubi;1898-01-01;1954-07-14
Rezső Kókai;1906-01-15;1962-03-06
Rhené-Baton;1879-09-05;1940-09-23
Rhett Forrester;1956-09-22;1994-01-22
Rhoda Chase;1914-06-21;1978-10-14
Ria Bartok;1943-01-28;1970-03-02
Ria Brieffies;1957-02-23;2009-07-20
Riad Al Sunbati;1906-11-30;1981-09-10
Ric Grech;1946-11-01;1990-03-17
Ric Segreto;1952-09-27;1998-09-06
Ricardo Aguirre;1939-05-09;1969-11-08
Ricardo López Méndez;1903-02-07;1989-12-28
Ricardo Odnoposoff;1914-02-24;2004-10-26
Ricardo da Force;1967-04-30;2013-03-08
Riccardo Brengola;1917-03-18;2004-05-16
Riccardo Malipiero;1914-07-24;2003-11-27
Riccardo Pick-Mangiagalli;1882-07-10;1949-07-08
Riccardo Rognoni;None;1620-04-20
Riccardo Stracciari;1875-06-26;1955-10-10
Rich Cronin;1974-08-30;2010-09-08
Rich Matteson;1929-01-12;1993-06-25
Rich Mullins;1955-10-21;1997-09-19
Richard Dimples Fields;1942-03-21;2000-01-12
Richard Hock Walsh;1948-12-19;1999-12-31
Richard Pistol Allen;1932-08-13;2002-06-30
Richard Popcorn Wylie;1939-06-06;2008-09-07
Richard A. Whiting;1891-11-12;1938-02-19
Richard Adler;1921-08-03;2012-06-21
Richard Aldrich (music critic);1863-07-31;1937-06-02
Richard Angas;1942-04-18;2013-08-20
Richard Anthony (singer);1938-01-13;2015-04-09
Richard Barth;1850-06-05;1923-12-25
Richard Bell (Canadian musician);1946-03-05;2007-06-15
Richard Bellamy (singer);None;1813-09-11
Richard Berry (musician);1935-04-11;1997-01-23
Richard Bonelli;1889-02-06;1980-06-07
Richard Bradshaw (conductor);1944-04-26;2007-08-15
Richard Bruno Heydrich;1865-02-23;1938-08-24
Richard Buhlig;1880-12-21;1952-01-30
Richard Burmer;1955-09-19;2006-09-09
Richard Campbell (classical musician);1956-02-21;2011-03-08
Richard Capell;1885-03-23;1954-06-21
Richard Cassilly;1927-12-14;1998-01-30
Richard Cayley;1833-04-22;1908-04-05
Richard Coughlan;1947-09-02;2013-12-01
Richard Delvy;1942-04-20;2010-02-06
Richard Dufallo;1933-01-30;2000-06-16
Richard Edgcumbe 2nd Earl of Mount Edgcumbe;1764-09-13;1839-09-26
Richard Edwin Parris Jr.;1963-07-13;2010-03-09
Richard Egües;None;2006-09-01
Richard Eilenberg;1848-01-13;1927-12-06
Richard Fariña;1937-03-08;1966-04-30
Richard Farrell;1926-12-30;1958-05-27
Richard Goldner;1908-06-23;1991-09-27
Richard Gotabhaya Senanayake;1911-11-04;1970-12-22
Richard Hageman;1881-07-09;1966-03-06
Richard Hale;1892-11-16;1981-05-18
Richard Hand;1960-11-27;2011-03-26
Richard Hayes (singer);1930-01-05;2014-03-10
Richard Helms;1913-03-30;2002-10-23
Richard Himber;1899-02-20;1966-12-11
Richard Hofmann (composer);1844-04-30;1918-11-11
Richard Hofstadter;1916-08-06;1970-10-24
Richard Holm (tenor);1912-08-03;1988-07-20
Richard Hunt (pianist);None;2011-12-08
Richard Johnston (composer);1917-05-07;1997-08-16
Richard Jose;1862-06-05;1941-10-20
Richard LaSalle;1918-01-18;2015-04-05
Richard Leveridge;1670-07-19;1758-03-22
Richard Lewine;1910-07-28;2005-05-19
Richard Maltby Sr.;1914-06-26;1991-08-19
Richard Manuel;1943-04-03;1986-03-04
Richard Marlow;1939-07-26;2013-06-16
Richard Mayr;1877-11-18;1935-12-01
Richard McPartland;1905-05-18;1957-11-30
Richard P. Condie;1898-07-05;1985-12-22
Richard Proulx;1937-04-03;2010-02-18
Richard Purvis;1913-08-25;1994-12-25
Richard Robert;1861-03-25;1924-02-01
Richard Rodgers;1902-06-28;1979-12-30
Richard Sohl;1953-05-26;1990-06-03
Richard Stone (composer);1953-11-27;2001-03-09
Richard Street;1942-10-05;2013-02-27
Richard Tee;1943-11-24;1993-07-21
Richard Termini;1956-06-20;1956-06-20
Richard Toensing;1940-03-11;2014-07-02
Richard Torigi;1917-10-30;2010-04-06
Richard Trunk;1879-02-10;1968-06-02
Richard Watson (singer);None;1968-08-02
Richard Williams (musician);1931-05-04;1985-11-04
Richard Wright (musician);1943-07-28;2008-09-15
Richard Wüerst;1824-02-22;1881-10-09
Richey Edwards;1967-12-22;2008-11-23
Richie Barrett;1933-07-14;2006-08-03
Richie Havens;1941-01-21;2013-04-22
Richie Hayward;1946-02-06;2010-08-12
Richie Kamuca;1930-07-23;1977-07-22
Richie Powell;1931-09-05;1956-06-26
Richie Pratt;1943-03-11;2015-02-12
Rick Besoyan;1924-07-02;1970-03-13
Rick Burks;1960-07-27;1989-02-19
Rick Chase;1957-06-12;2002-12-12
Rick Coonce;1946-08-01;2011-02-25
Rick Danko;1943-12-29;1999-12-10
Rick Henderson;1928-04-25;2004-05-21
Rick Huxley;1940-08-05;2013-02-11
Rick James;1948-02-01;2004-08-06
Rick Parashar;1963-12-13;2014-08-14
Rick Rhodes;1951-07-28;2005-11-02
Rick Rosas;1949-09-10;2014-11-06
Rick van der Linden;1946-08-05;2006-01-22
Rickey Grundy;1959-01-30;2015-07-27
Ricky Allen;1935-01-06;2005-05-29
Ricky Hyslop;1915-04-26;1998-06-02
Ricky Lancelotti;None;1980-04-07
Ricky Lawson;1954-11-08;2013-12-23
Ricky Nelson;1940-05-08;1985-12-31
Ricky Owens;1939-04-24;1996-12-06
Ricky Williams (musician);1956-10-04;['1992-11-21', '1992-11-22']
Ricky Wilson (American musician);1953-03-19;1985-10-12
Rico Rodriguez (musician);1934-10-17;2015-09-04
Rigo Tovar;1946-03-29;2005-03-27
Riley Puckett;1894-05-07;1946-07-13
Rino Gaetano;1950-10-29;1981-06-02
Rio Reiser;1950-01-09;1996-08-20
Risë Stevens;1913-06-11;2013-03-20
Rita Fornia;1878-07-17;1922-10-27
Rita Keane;1922-12-31;2009-06-28
Rita MacNeil;1944-05-28;2013-04-16
Rita Montaner;1900-08-20;1958-04-17
Rita Reys;1924-12-21;2013-07-28
Rita Sakellariou;1934-10-22;1999-08-06
Rita Streich;1920-12-18;1987-03-20
Ritchie Cordell;1943-03-10;2004-04-13
Ritchie Pickett;1955-02-16;2011-03-13
Ritchie Valens;1941-05-13;1959-02-03
Ritham Madubun;1971-04-01;2013-08-01
Ritsuko Okazaki;1959-12-29;2004-05-05
R. A. Chandrasena;1924-08-27;1980-03-01
R. B. Greaves;1943-11-28;2012-09-27
R. D. Burman;1939-06-27;1994-01-04
R. E. Winsett;1876-01-15;1952-06-26
R. H. Harris;1916-03-23;2000-09-03
R. J. S. Stevens;1757-03-27;1837-09-23
R. K. Bijapure;1917-01-07;2010-11-19
R. K. Shekhar;1933-06-21;1976-09-30
R. K. Srikantan;1920-01-14;2014-02-17
R. L. Burnside;1926-11-23;2005-09-01
